ID, Latitude, Longitude, PM
1010,40.847496,-111.901089,1.09
1011,40.847496,-111.901089,1.34
1018,41.026017,-111.901674,1.43
1019,41.026017,-111.901674,0.66
1024,41.325,-111.815245,0.07
1025,41.325,-111.815245,0.5
1070,40.708824,-112.096065,4096.86
1071,40.708824,-112.096065,14.88
1092,40.664162,-111.798697,6.93
1093,40.664162,-111.798697,8.69
1094,41.194048,-111.943294,2.72
1095,41.194048,-111.943294,1.33
1096,41.098559,-111.981496,0.68
1097,41.098559,-111.981496,0.48
1104,41.178942,-111.946031,0.75
1105,41.178942,-111.946031,0.87
1118,39.686879,-110.854561,5.13
1119,39.686879,-110.854561,4.49
124,38.296303,-111.432481,22.51
1242,41.256372,-111.708823,1.24
1243,41.256372,-111.708823,1
130,40.731584,-111.881332,11.8
135,41.223025,-111.943803,0.35
138,41.262243,-111.77074,13.41
143,40.323563,-111.71495,6.53
146,41.251048,-111.94607,26.95
149,40.484037,-111.833696,10.87
15,40.730721,-111.884235,6.58
150,40.483792,-111.830521,16.04
151,40.47493,-111.883156,19.54
1539,40.774964,-111.846941,4.12
1540,40.774964,-111.846941,2.8
157,40.726807,-111.538902,5.99
1638,38.570599,-109.547253,1.14
1639,38.570599,-109.547253,1
1718,40.769943,-111.947224,0.67
1719,40.769943,-111.947224,1.87
18,40.475761,-111.885445,16.91
20,40.603078,-111.836119,6.49
201,38.30887,-111.433058,3.23
202,38.30887,-111.433058,2.28
27,40.70159,-112.058312,13.4
2708,40.5644,-111.9051,11.49
2709,40.5644,-111.9051,11.48
274,41.251048,-111.94607,16.4
28,40.575607,-111.792002,14.82
2974,40.473542,-111.884294,10.95
2975,40.473542,-111.884294,12.21
2977,40.473036,-111.886182,13.88
2978,40.473036,-111.886182,13.3
2980,40.47382,-111.886311,15.08
2981,40.47382,-111.886311,12.68
2982,40.473755,-111.885259,10.88
2983,40.473755,-111.885259,13.93
2984,40.791091,-111.863127,4.7
2985,40.791091,-111.863127,3.74
3039,41.712894,-111.807182,8.56
3040,41.712894,-111.807182,8.81
308,40.634929,-111.837258,5.17
309,40.634929,-111.837258,8.54
3238,40.664058,-111.849054,6.62
3239,40.664058,-111.849054,7.14
3283,40.452123,-111.890361,13.37
3284,40.452123,-111.890361,14.4
338,40.679475,-111.77778,6.83
3388,40.733441,-111.821509,5.36
3389,40.733441,-111.821509,5.17
339,40.679475,-111.77778,2.33
3433,40.245598,-111.700573,11.63
3434,40.245598,-111.700573,10.54
3441,40.526072,-111.94676,12.2
3442,40.526072,-111.94676,10.21
350,40.531727,-111.831501,9.62
351,40.531727,-111.831501,10.8
3517,39.484842,-111.493991,6.71
3518,39.484842,-111.493991,5.79
3543,40.692387,-111.810172,7.33
3544,40.692387,-111.810172,7.19
3623,40.477427,-111.911802,17.09
3624,40.477427,-111.911802,15.86
3653,40.297525,-111.688883,6.49
3654,40.297525,-111.688883,5.86
3655,40.274345,-111.721196,8.76
3656,40.274345,-111.721196,9.81
3709,40.109818,-111.79915,18.07
3710,40.109818,-111.79915,17.88
399,40.787948,-111.88682,3.68
400,40.787948,-111.88682,3.21
4177,41.583102,-111.840024,9.69
4178,41.583102,-111.840024,9.19
425,40.084704,-111.61103,3.86
426,40.084704,-111.61103,3.66
431,41.150281,-112.070119,0.21
432,41.150281,-112.070119,0.23
437,40.789022,-111.86687,1.6
438,40.789022,-111.86687,10.98
44,41.230781,-111.928978,0.56
441,40.778155,-111.758007,11.83
442,40.778155,-111.758007,4.44
443,41.224423,-111.968378,0.07
4439,40.676312,-111.788121,5.1
444,41.224423,-111.968378,0.54
4440,40.676312,-111.788121,4.77
451,41.217147,-111.941075,0.27
452,41.217147,-111.941075,0.22
4543,40.648548,-111.887547,4.07
4544,40.648548,-111.887547,4.57
4561,40.891716,-111.860557,0.72
4562,40.891716,-111.860557,0.71
459,40.474567,-111.891498,16.05
